Transaction ID,Transaction Date,Transaction Time,Transaction Quantity,Store ID,Store Location,Product ID,Unit Price,Product Category,Product Type,Product Detail,Year,Month,Day,Transaction Hour
66,2023-01-01,09:44:20,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,9
67,2023-01-01,09:44:46,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023,January,Sunday,9
68,2023-01-01,09:46:46,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,2023,January,Sunday,9
69,2023-01-01,09:47:40,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,2023,January,Sunday,9
70,2023-01-01,09:50:44,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,2023,January,Sunday,9
71,2023-01-01,09:50:44,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,2023,January,Sunday,9
72,2023-01-01,09:52:58,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2023,January,Sunday,9
73,2023-01-01,09:53:28,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,9
74,2023-01-01,09:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,2023,January,Sunday,9
75,2023-01-01,09:53:44,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,2023,January,Sunday,9
76,2023-01-01,09:53:49,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,9
77,2023-01-01,09:54:46,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023,January,Sunday,9
78,2023-01-01,09:55:16,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,2023,January,Sunday,9
79,2023-01-01,09:56:30,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023,January,Sunday,9
80,2023-01-01,10:00:39,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,2023,January,Sunday,10
81,2023-01-01,10:03:55,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023,January,Sunday,10
82,2023-01-01,10:14:49,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,2023,January,Sunday,10
83,2023-01-01,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,2023,January,Sunday,10
84,2023-01-01,10:16:30,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,2023,January,Sunday,10
85,2023-01-01,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,10
86,2023-01-01,10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,January,Sunday,10
87,2023-01-01,10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,2023,January,Sunday,10
88,2023-01-01,10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023,January,Sunday,10
89,2023-01-01,10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,10
90,2023-01-01,10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023,January,Sunday,10
91,2023-01-01,10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2023,January,Sunday,10
92,2023-01-01,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,2023,January,Sunday,10
93,2023-01-01,10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,10
94,2023-01-01,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,10
95,2023-01-01,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,2023,January,Sunday,10
96,2023-01-01,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,10
97,2023-01-01,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,January,Sunday,10
98,2023-01-01,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023,January,Sunday,10
99,2023-01-01,10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,2023,January,Sunday,10
100,2023-01-01,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2023,January,Sunday,10
101,2023-01-01,10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,10
102,2023-01-01,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023,January,Sunday,10
103,2023-01-01,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,2023,January,Sunday,10
104,2023-01-01,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,2023,January,Sunday,10
105,2023-01-01,10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,2023,January,Sunday,10
106,2023-01-01,11:01:48,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2023,January,Sunday,11
107,2023-01-01,11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,2023,January,Sunday,11
108,2023-01-01,11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,2023,January,Sunday,11
109,2023-01-01,11:03:25,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,11
110,2023-01-01,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,2023,January,Sunday,11
111,2023-01-01,11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,2023,January,Sunday,11
112,2023-01-01,11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,January,Sunday,11
113,2023-01-01,11:08:59,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,2023,January,Sunday,11
114,2023-01-01,11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023,January,Sunday,11
115,2023-01-01,11:10:21,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,11
116,2023-01-01,11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,2023,January,Sunday,11
117,2023-01-01,11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2023,January,Sunday,11
118,2023-01-01,11:12:29,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,2023,January,Sunday,11
119,2023-01-01,11:16:02,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,2023,January,Sunday,11
120,2023-01-01,11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,11
121,2023-01-01,11:21:04,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,2023,January,Sunday,11
122,2023-01-01,11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,11
123,2023-01-01,11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2023,January,Sunday,11
124,2023-01-01,11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,11
125,2023-01-01,11:23:43,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,2023,January,Sunday,11
126,2023-01-01,11:25:35,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,2023,January,Sunday,11
127,2023-01-01,11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,2023,January,Sunday,11
128,2023-01-01,11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2023,January,Sunday,11
129,2023-01-01,11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,2023,January,Sunday,11
130,2023-01-01,11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023,January,Sunday,11
131,2023-01-01,11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,11
132,2023-01-01,11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,2023,January,Sunday,11
133,2023-01-01,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023,January,Sunday,11
134,2023-01-01,11:31:35,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023,January,Sunday,11
135,2023-01-01,11:31:43,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,2023,January,Sunday,11
136,2023-01-01,11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,2023,January,Sunday,11
137,2023-01-01,11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,11
138,2023-01-01,11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,2023,January,Sunday,11
139,2023-01-01,11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,11
140,2023-01-01,11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,2023,January,Sunday,11
141,2023-01-01,11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2023,January,Sunday,11
142,2023-01-01,11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,2023,January,Sunday,11
143,2023-01-01,11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,2023,January,Sunday,11
144,2023-01-01,11:47:13,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,2023,January,Sunday,11
145,2023-01-01,11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2023,January,Sunday,11
146,2023-01-01,11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,11
147,2023-01-01,11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,2023,January,Sunday,11
148,2023-01-01,11:50:16,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,2023,January,Sunday,11
149,2023-01-01,11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023,January,Sunday,11
150,2023-01-01,11:50:58,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,2023,January,Sunday,11
151,2023-01-01,11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,2023,January,Sunday,11
152,2023-01-01,11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2023,January,Sunday,11
153,2023-01-01,11:57:17,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,2023,January,Sunday,11
154,2023-01-01,11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2023,January,Sunday,11
155,2023-01-01,11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,2023,January,Sunday,11
156,2023-01-01,11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,11
157,2023-01-01,12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023,January,Sunday,12
158,2023-01-01,12:01:00,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,2023,January,Sunday,12
159,2023-01-01,12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,12
160,2023-01-01,12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,2023,January,Sunday,12
161,2023-01-01,12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2023,January,Sunday,12
162,2023-01-01,12:03:38,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,2023,January,Sunday,12
163,2023-01-01,12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2023,January,Sunday,12
164,2023-01-01,12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,2023,January,Sunday,12
165,2023-01-01,12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2023,January,Sunday,12
166,2023-01-01,12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2023,January,Sunday,12
167,2023-01-01,12:07:42,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023,January,Sunday,12
168,2023-01-01,12:08:21,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,2023,January,Sunday,12
169,2023-01-01,12:08:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,12
170,2023-01-01,12:09:11,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2023,January,Sunday,12
171,2023-01-01,12:09:12,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2023,January,Sunday,12
172,2023-01-01,12:13:07,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,2023,January,Sunday,12
173,2023-01-01,12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2023,January,Sunday,12
174,2023-01-01,12:17:38,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2023,January,Sunday,12
175,2023-01-01,12:18:07,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,2023,January,Sunday,12
176,2023-01-01,12:18:44,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,2023,January,Sunday,12
177,2023-01-01,12:20:16,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,12
178,2023-01-01,12:23:39,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2023,January,Sunday,12
179,2023-01-01,12:27:06,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,2023,January,Sunday,12
180,2023-01-01,12:30:46,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2023,January,Sunday,12
181,2023-01-01,12:30:49,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,2023,January,Sunday,12
182,2023-01-01,12:33:20,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023,January,Sunday,12
183,2023-01-01,12:33:35,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023,January,Sunday,12
184,2023-01-01,12:35:53,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2023,January,Sunday,12
185,2023-01-01,12:36:57,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,12
186,2023-01-01,12:38:28,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,2023,January,Sunday,12
187,2023-01-01,12:42:26,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023,January,Sunday,12
188,2023-01-01,12:44:01,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2023,January,Sunday,12
189,2023-01-01,12:44:31,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2023,January,Sunday,12
190,2023-01-01,12:44:32,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2023,January,Sunday,12
191,2023-01-01,12:45:52,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2023,January,Sunday,12
192,2023-01-01,12:46:22,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2023,January,Sunday,12
193,2023-01-01,12:46:26,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2023,January,Sunday,12
194,2023-01-01,12:46:55,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,2023,January,Sunday,12
195,2023-01-01,12:46:55,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,2023,January,Sunday,12
